mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4025742530822754,0.10877392078520051,0.08477330207824707,0.035041937855988047,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.8536585365853658,0.7073170731707317,0.8048780487804879,0.7317073170731707,0.675,0.7545121951219512,0.06547724400469923,15,0.852760736196319,0.8220858895705522,0.852760736196319,0.8588957055214724,0.823170731707317,0.8419347598383959,0.015925725159517862
0.8460969924926758,0.12518816256361065,0.1830366611480713,0.06228515059293499,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.8536585365853658,0.7073170731707317,0.8048780487804879,0.7073170731707317,0.675,0.7496341463414634,0.06785969007577511,19,0.8588957055214724,0.8466257668711656,0.8588957055214724,0.852760736196319,0.8170731707317073,0.8468502169684273,0.01556820276676973
0.40622940063476565,0.13356140472914196,0.07780570983886718,0.025745527400386096,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.8536585365853658,0.7073170731707317,0.8048780487804879,0.7317073170731707,0.675,0.7545121951219512,0.06547724400469923,15,0.852760736196319,0.8220858895705522,0.852760736196319,0.8588957055214724,0.823170731707317,0.8419347598383959,0.015925725159517862
0.8362062454223633,0.09973110080273502,0.18010444641113282,0.01269949602398331,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.8536585365853658,0.7073170731707317,0.8048780487804879,0.7073170731707317,0.675,0.7496341463414634,0.06785969007577511,19,0.8588957055214724,0.8466257668711656,0.8588957055214724,0.852760736196319,0.8170731707317073,0.8468502169684273,0.01556820276676973
0.3843860149383545,0.16152607116487744,0.09966006278991699,0.05502613452589087,gini,5,sqrt,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.8536585365853658,0.7560975609756098,0.8048780487804879,0.7560975609756098,0.675,0.7691463414634147,0.05936857921073642,3,0.8711656441717791,0.8773006134969326,0.8588957055214724,0.8957055214723927,0.8536585365853658,0.8713452042495886,0.014810350623577873
0.950574541091919,0.15764886591327879,0.21849675178527833,0.06945949552257596,gini,5,sqrt,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.8536585365853658,0.7317073170731707,0.8048780487804879,0.7560975609756098,0.675,0.7642682926829268,0.061213681580276964,7,0.8834355828220859,0.8773006134969326,0.8773006134969326,0.8957055214723927,0.8597560975609756,0.8786996857698638,0.01161379791031642
0.4561699390411377,0.14073679921792082,0.0893819808959961,0.037512644631202616,gini,5,log2,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.8536585365853658,0.7560975609756098,0.8048780487804879,0.7560975609756098,0.675,0.7691463414634147,0.05936857921073642,3,0.8711656441717791,0.8773006134969326,0.8588957055214724,0.8957055214723927,0.8536585365853658,0.8713452042495886,0.014810350623577873
0.8423168182373046,0.17347556397503366,0.19042887687683105,0.06984385784604606,gini,5,log2,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.8536585365853658,0.7317073170731707,0.8048780487804879,0.7560975609756098,0.675,0.7642682926829268,0.061213681580276964,7,0.8834355828220859,0.8773006134969326,0.8773006134969326,0.8957055214723927,0.8597560975609756,0.8786996857698638,0.01161379791031642
0.366392183303833,0.1350268849639016,0.06191473007202149,0.004479641068751612,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.8292682926829268,0.7560975609756098,0.7804878048780488,0.7560975609756098,0.65,0.754390243902439,0.058636094281996926,17,0.9141104294478528,0.9141104294478528,0.9079754601226994,0.9386503067484663,0.9085365853658537,0.916676642226545,0.01129587468302087
0.9093302249908447,0.2632944258756327,0.19872941970825195,0.057069939615656574,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.8292682926829268,0.7073170731707317,0.7804878048780488,0.7317073170731707,0.65,0.7397560975609756,0.06139175071069574,33,0.901840490797546,0.901840490797546,0.8957055214723927,0.9325153374233128,0.9085365853658537,0.9080876851713302,0.012870777434820341
0.39541044235229494,0.13806680615583186,0.08580007553100585,0.036090886364345175,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.8292682926829268,0.7560975609756098,0.7804878048780488,0.7560975609756098,0.65,0.754390243902439,0.058636094281996926,17,0.9141104294478528,0.9141104294478528,0.9079754601226994,0.9386503067484663,0.9085365853658537,0.916676642226545,0.01129587468302087
0.9291384220123291,0.33325735624947983,0.2017058849334717,0.06655253584771813,gini,6,log2,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",0.8292682926829268,0.7073170731707317,0.7804878048780488,0.7317073170731707,0.65,0.7397560975609756,0.06139175071069574,33,0.901840490797546,0.901840490797546,0.8957055214723927,0.9325153374233128,0.9085365853658537,0.9080876851713302,0.012870777434820341
