mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.31826229095458985,0.0781568770762153,0.0713374137878418,0.026054109622989423,gini,4,sqrt,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 200}",0.6666666666666666,0.6190476190476191,0.6190476190476191,0.8095238095238095,0.55,0.6528571428571428,0.08671897950215794,39,0.9036144578313253,0.9036144578313253,0.9156626506024096,0.8433734939759037,0.9047619047619048,0.8942053930005738,0.025817810924985446
0.8289240837097168,0.18367016236578154,0.20146965980529785,0.07395896421675625,gini,4,sqrt,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 500}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6719047619047618,0.08231899679636584,31,0.9036144578313253,0.891566265060241,0.9156626506024096,0.8433734939759037,0.9047619047619048,0.8917957544463568,0.025385820885989903
0.3246048927307129,0.10024101500908099,0.07021174430847169,0.025243586002893788,gini,4,log2,200,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 200}",0.6666666666666666,0.6190476190476191,0.6190476190476191,0.8095238095238095,0.55,0.6528571428571428,0.08671897950215794,39,0.9036144578313253,0.9036144578313253,0.9156626506024096,0.8433734939759037,0.9047619047619048,0.8942053930005738,0.025817810924985446
0.8633884906768798,0.19210772277872903,0.20744590759277343,0.06798712434281767,gini,4,log2,500,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'log2', 'n_estimators': 500}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6719047619047618,0.08231899679636584,31,0.9036144578313253,0.891566265060241,0.9156626506024096,0.8433734939759037,0.9047619047619048,0.8917957544463568,0.025385820885989903
0.35564489364624025,0.1317086819982214,0.08078551292419434,0.02938493338963005,gini,5,sqrt,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200}",0.7142857142857143,0.6666666666666666,0.7142857142857143,0.8095238095238095,0.55,0.690952380952381,0.084386541790585,13,0.927710843373494,0.9518072289156626,0.9759036144578314,0.9036144578313253,0.9404761904761905,0.9399024670109007,0.0240980929919878
0.8730827331542969,0.2804211153032382,0.18072075843811036,0.05938948814452763,gini,5,sqrt,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6814285714285713,0.08390146472090296,23,0.927710843373494,0.9397590361445783,0.9759036144578314,0.9036144578313253,0.9523809523809523,0.9398737808376364,0.024154779939755556
0.3577397346496582,0.12751910743411402,0.08719501495361329,0.02748168321480442,gini,5,log2,200,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200}",0.7142857142857143,0.6666666666666666,0.7142857142857143,0.8095238095238095,0.55,0.690952380952381,0.084386541790585,13,0.927710843373494,0.9518072289156626,0.9759036144578314,0.9036144578313253,0.9404761904761905,0.9399024670109007,0.0240980929919878
0.8074358463287353,0.16881682504677561,0.1942739486694336,0.07266001800363894,gini,5,log2,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6814285714285713,0.08390146472090296,23,0.927710843373494,0.9397590361445783,0.9759036144578314,0.9036144578313253,0.9523809523809523,0.9398737808376364,0.024154779939755556
0.3656167507171631,0.11390312259249093,0.08078937530517578,0.030948150221807667,gini,6,sqrt,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 200}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.55,0.6814285714285715,0.09879546658469238,21,0.9397590361445783,0.963855421686747,1.0,0.9759036144578314,0.9642857142857143,0.9687607573149742,0.019555555989446447
0.8576352596282959,0.2717821436390178,0.16436161994934081,0.06310574573455932,gini,6,sqrt,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'sqrt', 'n_estimators': 500}",0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6814285714285713,0.08390146472090296,23,0.9397590361445783,0.963855421686747,1.0,0.963855421686747,0.9642857142857143,0.9663511187607574,0.019267116909046467
0.3400140285491943,0.1114864794276787,0.08208532333374023,0.03094369932647195,gini,6,log2,200,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 200}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.55,0.6814285714285715,0.09879546658469238,21,0.9397590361445783,0.963855421686747,1.0,0.9759036144578314,0.9642857142857143,0.9687607573149742,0.019555555989446447
0.8040374279022217,0.17505517715964486,0.23326621055603028,0.07903897703857486,gini,6,log2,500,"{'criterion': 'gini', 'max_depth': 6, 'max_features': 'log2', 'n_estimators': 500}",0.7142857142857143,0.6666666666666666,0.6666666666666666,0.8095238095238095,0.55,0.6814285714285713,0.08390146472090296,23,0.9397590361445783,0.963855421686747,1.0,0.963855421686747,0.9642857142857143,0.9663511187607574,0.019267116909046467
